Player name,rndplayes,acs,kdratio,hspercent,clpercent,aspr,kmax
something,364,297.4,1.45,0.21,0.12,0.16,43
enerii,737,296,1.43,0.23,0.18,0.25,39
alcoacH,131,291.5,1.3,0.3,0.09,0.18,27
Kohaibi,529,283.5,1.44,0.22,0.22,0.2,33
mwzera,2417,277.9,1.32,0.16,0.17,0.22,38
SkRossi,2315,276.8,1.35,0.25,0.14,0.15,42
whz,1090,276.4,1.22,0.31,0.11,0.19,34
muffinloop,311,276,1.31,0.36,0.16,0.15,30
keznit,1369,270.1,1.27,0.22,0.15,0.25,31
TenZ,3642,269.7,1.32,0.18,0.19,0.23,34
Famouz,1416,268,1.24,0.16,0.15,0.29,34
ScreaM,3348,267.8,1.36,0.34,0.15,0.23,39
cdziinxs1,162,267.6,1,0.17,0.12,0.32,31
sociablEE,1992,267.1,1.18,0.22,0.15,0.2,33
BUTTSAHAB,104,266.6,1.29,0.27,0.11,0.11,26
Roy,240,266.5,1.17,0.21,0.08,0.18,29
f0rsakeN,3076,266.4,1.27,0.25,0.17,0.24,33
bstrdd,624,266.1,1.37,0.26,0.14,0.18,28
Seoldam,947,266,1.29,0.21,0.1,0.22,29
TookiiTookii,267,265.8,1.21,0.26,0.17,0.13,25
Life,861,265.1,1.22,0.28,0.18,0.19,37
ZmjjKK,1055,264.5,1.15,0.2,0.09,0.18,39
Smurfette,935,264,1.24,0.23,0.17,0.17,33
DEATHMAKER,1944,263.3,1.31,0.28,0.1,0.16,49
Ayumiii,737,263.1,1.4,0.21,0.23,0.32,31
steph,151,262.3,1.02,0.19,0.12,0.17,25
ness,964,262.3,1.4,0.28,0.19,0.15,33
cNed,3504,262.2,1.38,0.24,0.17,0.17,39
al0rante,1338,261.9,1.19,0.36,0.14,0.17,37
Jinggg,2026,261.9,1.24,0.17,0.19,0.22,36
Juicy,707,261.1,1.3,0.29,0.26,0.2,30
celrate,113,260.8,1.41,0.21,0.26,0.33,33
xanny,104,260.4,1.26,0.3,0.4,0.18,24
mw1,1303,259.4,1.23,0.26,0.16,0.18,34
BerserX,2400,259.2,1.31,0.23,0.22,0.18,35
wronski,2009,259,1.11,0.27,0.11,0.18,37
dodonut,859,259,1.33,0.21,0.19,0.24,33
Prti,267,258.8,1.26,0.26,0.15,0.24,31
symoN,152,258.6,1.13,0.23,0.19,0.2,24
Demiurge,101,258.6,1.01,0.24,0.18,0.17,26
rawfiul,1869,257.9,1.14,0.32,0.15,0.15,41
trexx,1590,257.7,1.27,0.17,0.17,0.29,33
ImMuTable,106,257.4,1.19,0.22,0.08,0.18,23
Twisten,1583,257.2,1.19,0.25,0.13,0.18,33
L0sttt,223,255.3,1.34,0.22,0.1,0.21,27
kn1fed,105,255,1.1,0.24,0.08,0.3,24
nukkye,2825,254.9,1.26,0.2,0.23,0.24,33
Derke,2941,254.6,1.18,0.27,0.17,0.2,35
brk,182,254.1,1.18,0.18,0.11,0.21,28
purp0,1064,253.7,1.32,0.33,0.21,0.17,32
MiniNiwde,242,253.7,1.14,0.19,0.07,0.17,27
ShoT_UP,3024,252.9,1.2,0.24,0.17,0.27,38
qw1,963,252.9,1.2,0.25,0.18,0.14,42
Monyet,1048,252.8,1.23,0.23,0.1,0.22,28
sizz,466,252.6,1.23,0.34,0.08,0.13,32
H1ber,2033,252.5,1.08,0.23,0.19,0.27,32
seven,1882,252,1.2,0.2,0.14,0.22,32
Zyppan,2923,251.9,1.21,0.23,0.14,0.24,39
GianSanity,409,251.4,1.12,0.22,0.18,0.21,36
DaveeyS,1956,251.4,1.28,0.26,0.2,0.24,34
Matteo,106,251.2,1.04,0.21,0.29,0.18,20
Arixa,153,251.1,1.07,0.22,0.1,0.29,28
xander,1919,250.3,1.18,0.16,0.24,0.24,35
Z,219,250,1.16,0.26,0.1,0.17,35
tecoNe,631,250,1.15,0.29,0.1,0.13,33
YuAnger,516,249.6,1.32,0.21,0.17,0.2,32
Sacy,2071,249.4,1.36,0.26,0.17,0.35,31
Patiphan,1341,249.4,1.15,0.22,0.13,0.22,30
ninim,1535,249.4,1.2,0.21,0.1,0.19,34
HAXX,102,249.4,1.16,0.19,0.13,0.25,25
Jow,115,249.2,1.1,0.37,0.05,0.3,24
jannyXD,1115,249.2,1.18,0.24,0.12,0.18,33
SebitA,181,248.8,1.12,0.24,0.18,0.17,31
fluffy,191,248.6,1.05,0.24,0.07,0.17,38
Georggyyy,852,248.4,1.13,0.23,0.16,0.21,28
heat,1924,248.4,1.27,0.29,0.13,0.14,37
Padge,835,248.4,1.21,0.29,0.21,0.17,37
Keiti,383,248.1,1.2,0.29,0.09,0.17,35
WARDELL,3131,247.9,1.42,0.2,0.16,0.14,46
NiSMO,2938,247.8,1.19,0.25,0.14,0.25,31
scr3wdr1v3r,170,247.4,1.12,0.2,0.13,0.12,29
Japips,277,247.3,1.08,0.19,0.04,0.25,30
Davud,681,247.2,1.09,0.18,0.23,0.21,27
jakee,248,246.9,1.06,0.24,0.27,0.18,23
xand,2419,246.9,1.16,0.22,0.12,0.2,33
Cloud,2498,246.9,1.21,0.29,0.15,0.28,33
kAdavraa,1707,246.8,1.24,0.26,0.13,0.2,36
S1GX,194,246.7,1.06,0.25,0.18,0.2,28
t3xture,1310,246.6,1.15,0.23,0.19,0.2,31
Jazzyk1ns,946,246.4,1.14,0.18,0.05,0.24,30
alvar,482,246.4,1.13,0.29,0.16,0.13,29
ANDROID,2749,246.3,1.22,0.28,0.16,0.23,41
scraw,107,246,1.17,0.29,0.23,0.24,23
lsnow,103,245.8,1.11,0.19,0.07,0.34,23
leaf,2350,245.6,1.11,0.23,0.22,0.24,31
JohnOlsen,2777,245.6,1.21,0.27,0.16,0.21,35
Harmful,1241,245.4,1.14,0.27,0.12,0.16,32
Lime,485,245.3,1.19,0.28,0.18,0.22,29
froz,138,244.8,1.16,0.23,0.25,0.19,27
Cab8ts,130,244.8,1.03,0.24,0.12,0.22,23
Spleez,113,244.7,0.92,0.24,0.12,0.22,20
aspas,1012,244.6,1.18,0.27,0.24,0.19,32
tomaszy,179,244.6,0.95,0.36,0.11,0.15,21
Smoggy,524,244.4,1.25,0.3,0.26,0.18,29
GangPin,251,244.4,1.13,0.25,0.25,0.2,27
1ndra,827,244.4,1.22,0.22,0.11,0.29,33
Fission,212,244.2,1.1,0.26,0.13,0.22,28
biazik,237,244.2,1.07,0.17,0.06,0.24,25
DEQ,152,244.1,1.21,0.37,0.18,0.11,28
syfi,126,244,1.08,0.21,0.07,0.1,24
aNNja,406,244,1.17,0.24,0.06,0.18,29
Cla,1120,243.8,1.23,0.19,0.2,0.23,29
Leare,1240,243.7,1.17,0.24,0.13,0.15,30
TheCady,743,243.6,1.04,0.29,0.21,0.16,28
rEplan,1911,243.2,1.09,0.18,0.16,0.21,33
Winteryrook,2305,242.9,1.07,0.2,0.18,0.23,36
Alluka,632,242.8,1.06,0.2,0.08,0.29,36
invy,907,242.6,1.25,0.26,0.19,0.3,33
denzo,353,242.1,0.86,0.17,0.11,0.28,25
Assassin,107,242,0.9,0.24,0.12,0.2,24
nieSoW,869,241.9,1.4,0.27,0.26,0.32,27
Jonn,2580,241.9,1.15,0.27,0.19,0.2,35
malfY,546,241.8,1.06,0.22,0.19,0.19,28
Marky,776,241.8,1.1,0.21,0.24,0.19,35
Yacine,2768,241.7,0.99,0.2,0.17,0.26,32
alexandra,222,241.5,0.97,0.31,0.19,0.16,25
Zeus,395,241.4,1.11,0.24,0.1,0.2,27
rheat,275,241.4,1.09,0.27,0.17,0.19,25
cinnamon,935,241.4,1.17,0.22,0.21,0.32,35
sinatraa,2746,241.3,1.07,0.15,0.2,0.39,38
RockeT,1019,241.3,1,0.26,0.12,0.21,30
szimpli,1048,241.2,1.08,0.22,0.15,0.2,29
trinity,328,240.9,1.2,0.22,0.17,0.23,31
elllement,731,240.8,1.18,0.24,0.16,0.21,33
Autumn,2096,240.8,1.22,0.21,0.17,0.2,34
daiki,624,240.8,1.36,0.27,0.2,0.3,32
Mik0N,104,240.8,1.1,0.12,0.08,0.17,24
Dep,1724,240.7,1.19,0.22,0.16,0.19,33
nomfu,1261,240.7,1.21,0.25,0.17,0.16,32
Cud,457,240.7,1.12,0.22,0.24,0.17,29
Masic,457,240.6,1.09,0.21,0.12,0.13,26
koalanoob,2975,240.6,1.24,0.22,0.13,0.17,39
JA,810,240.6,1.19,0.23,0.14,0.24,29
WISPERIOUS,262,240.6,1,0.2,0.05,0.31,22
Asuna,4174,240.4,1.03,0.21,0.19,0.26,48
yay,2607,240.4,1.24,0.28,0.16,0.2,40
zekken,2599,240.3,1.16,0.21,0.14,0.3,34
sibeastw0w,453,240.1,0.99,0.24,0.02,0.19,32
azys,810,240.1,1.13,0.28,0.16,0.19,30
kiNgg,1409,240,1.25,0.19,0.15,0.27,32
nolan,1447,240,1.12,0.2,0.12,0.26,34
Nizzy,1035,240,1.1,0.31,0.13,0.22,31
BuZz,1399,239.9,1.2,0.23,0.19,0.17,29
ardiis,2409,239.9,1.16,0.2,0.16,0.37,29
mehzy,530,239.9,1.06,0.22,0.12,0.18,27
Meteor,551,239.6,1.02,0.2,0.04,0.2,25
Daicalem,1157,239.5,1.11,0.23,0.15,0.19,32
Lakers,1195,239.4,1.1,0.16,0.13,0.2,28
suther,1095,239.4,1.12,0.18,0.13,0.26,31
pl1xx,2637,239.3,1.19,0.18,0.15,0.3,32
ZesBeeW,2800,239.1,1.24,0.23,0.13,0.18,39
musashi,1798,238.8,1.06,0.23,0.16,0.2,35
Monstrum,1281,238.7,1.08,0.27,0.16,0.18,31
Kak,139,238.7,0.96,0.22,0.11,0.14,25
snikk,1693,238.4,1.03,0.26,0.11,0.21,36
DubsteP,2734,238.3,1.22,0.25,0.13,0.16,38
QutionerX,476,238.2,1.13,0.25,0.22,0.16,47
Eren,473,238.1,1.03,0.22,0.07,0.17,33
Horcus,201,238.1,1.11,0.19,0.19,0.15,23
jackanoryy,455,238,0.95,0.21,0.09,0.22,26
Feniz,483,237.9,1.26,0.26,0.11,0.24,30
Kar1shma,167,237.9,1.03,0.29,0.07,0.25,29
fl1pzjder,2509,237.8,1.11,0.27,0.17,0.21,30
Izzy,1203,237.8,1.23,0.21,0.22,0.16,30
Shalaby,1319,237.7,1.08,0.19,0.17,0.24,29
Fisker,1633,237.7,1.1,0.25,0.2,0.19,40
aimhunterr,335,237.6,1.12,0.24,0.32,0.19,28
murii,2343,237.6,1.14,0.27,0.18,0.25,31
shramez,432,237.6,1.11,0.2,0.13,0.26,33
gin,646,237.5,1,0.28,0.09,0.18,34
Tian,1293,237.4,1.16,0.3,0.16,0.12,32
BABYBAY,2793,237.4,1.1,0.16,0.12,0.21,32
Kadoom,774,237.4,0.98,0.21,0.12,0.21,28
Kipperman,370,237.3,0.97,0.3,0.12,0.13,28
Haxtrax,561,237.2,1.2,0.26,0.18,0.19,27
dgzin,1329,237.1,1.12,0.28,0.22,0.14,31
allow,1761,237.1,1.16,0.24,0.09,0.16,33
Kinguyen,1284,237.1,1.07,0.21,0.16,0.23,30
shéd,1407,237.1,1.11,0.25,0.13,0.19,33
Reduxx,868,236.9,1.05,0.25,0.15,0.19,32
Art,558,236.8,1.13,0.13,0.09,0.22,26
LEW,560,236.6,1.05,0.29,0.05,0.14,30
zyad,312,236.5,1.01,0.2,0.04,0.15,26
SimonD4rk,1992,236.4,1.06,0.2,0.09,0.18,36
stare,338,236.4,1.05,0.27,0.13,0.17,27
yokitheyo,1002,236.4,0.97,0.2,0.19,0.21,33
Shao,3088,236.3,1.35,0.27,0.18,0.31,43
Zanatsu1,234,236.2,0.97,0.2,0.09,0.24,25
Maddie,527,236.2,0.97,0.22,0.15,0.23,28
memset,1006,236.2,1.27,0.28,0.18,0.18,33
penny,2245,236.2,1.13,0.2,0.18,0.2,33
PLAYER,395,236.2,1.06,0.2,0.09,0.25,29
andy,595,236.1,1.1,0.17,0.11,0.19,31
GabsoN,441,236,0.99,0.24,0.11,0.15,28
PTC,2593,236,1.18,0.22,0.2,0.27,36
hoody,2587,235.7,1.19,0.23,0.14,0.24,30
shooterR,354,235.7,1.07,0.3,0.18,0.21,30
EJAY,468,235.6,1.14,0.24,0.03,0.24,31
Exalt,1521,235.5,1.1,0.23,0.18,0.23,33
DBK,287,235.4,1.13,0.3,0.11,0.21,21
FireBallOps,1160,235,1.07,0.29,0.1,0.19,29
katax,126,235,0.99,0.22,0.1,0.23,20
HighKitty,1113,234.7,1.13,0.18,0.14,0.19,32
fROKIZ,374,234.6,1,0.2,0.1,0.21,34
Shawn,3015,234.4,1.12,0.22,0.21,0.27,33
Doenmo,144,234.3,1.01,0.16,0.06,0.22,28
Polvi,2851,234.3,1.06,0.19,0.16,0.21,30
xZe,424,234.1,1.04,0.3,0.13,0.21,32
B1SK,2049,233.9,1.03,0.25,0.09,0.16,37
AztKk,1506,233.9,1.02,0.18,0.14,0.29,29
Pooh1Tap,1160,233.7,1.23,0.17,0.19,0.19,27
Ninebody,1113,233.6,1.04,0.26,0.2,0.22,35
AslaN,2258,233.6,1.14,0.23,0.14,0.19,32
diseased,669,233.6,1.17,0.25,0.1,0.25,31
f3n1x,510,233.5,1.02,0.2,0.14,0.24,26
HaReeee,1724,233.5,1.1,0.28,0.15,0.21,30
d4v41,3076,233.5,1.23,0.28,0.11,0.24,39
PaRaDoXks,721,233.4,0.99,0.22,0.16,0.21,28
deLb,498,233.3,1.1,0.27,0.16,0.19,30
DeRR,120,233.2,0.91,0.17,0.12,0.19,23
biankk,184,233.2,1.13,0.2,0.14,0.26,30
Babybae,139,233.2,1.01,0.25,0.2,0.33,23
Zellsis,2341,233.1,1.13,0.18,0.18,0.31,35
Plaza,229,233.1,1.05,0.27,0.27,0.19,27
Mited,1303,233.1,1.08,0.22,0.09,0.23,30
ICE wabae,226,233.1,1.07,0.18,0.05,0.19,30
Neit,117,233,1.19,0.25,0.2,0.13,21
Klockzy,643,232.9,1.1,0.2,0.1,0.19,26
Rb,1941,232.9,1.26,0.22,0.19,0.18,36
Ale,2217,232.9,1.06,0.22,0.18,0.21,28
tex,2333,232.9,1.1,0.28,0.21,0.2,29
FIVESTAR,211,232.8,0.96,0.26,0.12,0.15,33
Will,2779,232.8,1.13,0.17,0.16,0.24,35
NotWibu,302,232.7,1.03,0.16,0.12,0.28,25
bobys,1656,232.7,1.03,0.22,0.16,0.26,33
Nelo,1120,232.7,1.26,0.29,0.23,0.24,30
reizek,137,232.7,1.06,0.19,0.04,0.23,19
Fit1nho,3028,232.7,1.17,0.21,0.16,0.19,31
Summr,109,232.7,1.03,0.3,0.05,0.14,26
Laz,1784,232.6,1.28,0.31,0.18,0.23,35
meL,1264,232.6,1.14,0.24,0.15,0.23,35
disk0,2131,232.5,1.26,0.22,0.18,0.25,33
Goaster,1581,232.5,1.09,0.25,0.14,0.22,32
sakurai,326,232.4,1.07,0.36,0.17,0.17,30
HANN,771,232.4,0.98,0.26,0.09,0.19,29
freakazoid,159,232.3,0.92,0.26,0.18,0.15,25
sheydos,2732,232.2,1.33,0.28,0.14,0.23,30
S A T O R,185,232.2,1.23,0.38,0.13,0.29,22
7cking,257,232.2,0.95,0.32,0.18,0.21,26
Harth,214,232.2,1.02,0.22,0.12,0.16,25
Kleisy,218,232.2,0.98,0.21,0.23,0.19,27
Zenakukin,381,232.1,1.04,0.22,0.14,0.22,35
VPNCNP,676,231.8,1.06,0.26,0.17,0.21,29
Maiko,212,231.8,0.93,0.2,0.07,0.23,21
Boostio,2753,231.7,1.08,0.26,0.15,0.16,42
dizzyLife,3242,231.7,1.18,0.16,0.16,0.23,31
NagZ,1867,231.6,1.26,0.2,0.16,0.19,29
RND,304,231.6,1.07,0.19,0.19,0.18,28
flippy,167,231.5,1.02,0.23,0.08,0.34,30
TTyke,249,231.5,0.97,0.25,0.06,0.18,28
corey,2874,231.5,1.1,0.24,0.1,0.23,35
baddyG,1017,231.5,0.99,0.23,0.14,0.25,29
Berrie,182,231.4,0.83,0.19,0.12,0.25,28
kato,348,231.4,1.08,0.16,0.13,0.2,24
MOLSI,1688,231.4,1.16,0.28,0.14,0.29,30
d1srupt,385,231.3,1.2,0.25,0.18,0.24,29
NoMan,172,231.3,1.03,0.3,0.18,0.23,38
Lilo,105,231.2,1.04,0.21,0.2,0.16,30
thief,3396,231.2,1.07,0.28,0.17,0.2,34
JewNNN,111,231.2,1.24,0.26,0.18,0.38,21
PEARSS,175,231.1,1,0.25,0.03,0.22,36
FIRESYJN,1164,231.1,1.04,0.25,0.2,0.19,28
mclamlam,156,230.9,1.02,0.22,0.11,0.17,27
Katu,1748,230.9,1.07,0.28,0.09,0.22,31
Bawn,671,230.8,1.04,0.29,0.18,0.3,28
yosemite,1113,230.8,1,0.19,0.15,0.25,43
zeek,2790,230.8,1.21,0.19,0.21,0.29,33
erennTT,117,230.8,1,0.16,0.12,0.26,22
juliano,755,230.8,1.15,0.24,0.11,0.28,31
nAts,2968,230.8,1.27,0.28,0.16,0.24,36
rara,564,230.8,1.02,0.35,0.06,0.22,28
Cliqahh,142,230.7,0.96,0.22,0.25,0.19,21
ALIVE,2774,230.7,1.13,0.2,0.14,0.18,33
diana,726,230.6,1.01,0.19,0.24,0.29,27
vakk,3067,230.6,1.13,0.23,0.13,0.24,33
rDeeW,1675,230.5,1.16,0.26,0.14,0.26,29
shoqqz,163,230.4,1.07,0.26,0.31,0.22,24
Muffyn,656,230.4,1,0.17,0.18,0.26,27
Campion,1271,230.2,1.02,0.2,0.13,0.18,44
doma,3235,230.2,1.14,0.24,0.19,0.23,31
jzz,202,230.2,0.95,0.24,0.12,0.19,32
Felipa,349,230.1,0.99,0.26,0.13,0.24,34
Mixwell,3566,230,1.17,0.22,0.16,0.21,31
Excali,2930,230,1.09,0.24,0.16,0.21,34
tixx,324,229.9,1.04,0.27,0.13,0.18,32
Cactus,683,229.9,1.01,0.27,0.14,0.16,39
GatsH,1579,229.9,1.1,0.15,0.08,0.17,35
